id,price
188533,18667.113
188534,79514.43
188535,55548.785
188536,29945.727
188537,30294.254
188538,17520.275
188539,12599.311
188540,41555.52
188541,81727.695
188542,31943.52
188543,25308.287
188544,12923.434
188545,46928.65
188546,116162.57
188547,17013.064
188548,114639.69
188549,21938.898
188550,11811.322
188551,87078.1
188552,57471.33
188553,66858.44
188554,23078.13
188555,45041.496
188556,20211.154
188557,23311.723
188558,87954.234
188559,28159.203
188560,13945.546
188561,81146.63
188562,23898.885
188563,96594.305
188564,57521.95
188565,39576.09
188566,30089.521
188567,15246.735
188568,44473.02
188569,23549.984
188570,16846.87
188571,35854.0
188572,100440.43
188573,22926.553
188574,34608.523
188575,40876.92
188576,34524.242
188577,13046.852
188578,32086.334
188579,47983.203
188580,45048.516
188581,93237.92
188582,22862.86
188583,102568.984
188584,31310.178
188585,38042.36
188586,33767.754
188587,57519.523
188588,25839.314
188589,17764.992
188590,21798.129
188591,26976.043
188592,36282.16
188593,33922.973
188594,72473.27
188595,25688.43
188596,47767.758
188597,28912.713
188598,27585.88
188599,15955.947
188600,51905.465
188601,54829.523
188602,36088.324
188603,146041.12
188604,12376.957
188605,40926.703
188606,37358.797
188607,64138.64
188608,17821.432
188609,53604.875
188610,45581.723
188611,22004.334
188612,75322.98
188613,22976.154
188614,17572.482
188615,32948.207
188616,80042.836
188617,48687.242
188618,22877.953
188619,83079.25
188620,17941.188
188621,22805.992
188622,109056.69
188623,62463.94
188624,42551.64
188625,26321.85
188626,15809.364
188627,120906.76
188628,84613.24
188629,21597.373
188630,25611.758
188631,60222.95
188632,50855.715
188633,59331.34
188634,11696.163
188635,29500.121
188636,56192.277
188637,12883.035
188638,31825.771
188639,24888.947
188640,12006.185
188641,26145.44
188642,15355.373
188643,100292.336
188644,93113.914
188645,59423.816
188646,11506.809
188647,24086.777
188648,26985.92
188649,43884.562
188650,99514.82
188651,47305.38
188652,61485.395
188653,72380.3
188654,11695.409
188655,17208.57
188656,28917.414
188657,36985.066
188658,12046.967
188659,57849.1
188660,13677.867
188661,90240.98
188662,12377.659
188663,16911.148
188664,85239.414
188665,137504.28
188666,26733.268
188667,12364.677
188668,14965.904
188669,28606.996
188670,64020.152
188671,21797.957
188672,19387.193
188673,64844.547
188674,15158.0205
188675,29864.764
188676,45338.03
188677,11765.084
188678,34106.707
188679,41108.32
188680,60055.207
188681,14748.507
188682,15311.79
188683,13563.656
188684,75730.72
188685,42362.99
188686,101879.78
188687,20562.154
188688,39562.953
188689,12597.101
188690,33431.523
188691,38465.97
188692,32886.277
188693,12830.798
188694,15921.088
188695,18975.477
