id,price
188533,18505.8928350154
188534,80805.50536463008
188535,53179.20992210696
188536,31541.44025046169
188537,30235.383765724062
188538,17577.399957247697
188539,14145.442539108886
188540,47229.96375233351
188541,85116.66704341138
188542,31489.7062906165
188543,28422.287399658817
188544,22390.303422860317
188545,45635.98732796491
188546,117764.12424989117
188547,18234.054183613924
188548,101806.55666018435
188549,23137.017364154457
188550,11294.426878949265
188551,90950.9034897113
188552,62175.3451449762
188553,63743.7848180465
188554,24233.213693948255
188555,42264.7451349171
188556,24485.205037226435
188557,24658.781112465113
188558,88683.74747914662
188559,36639.63281906685
188560,17386.574126115258
188561,72461.38639293314
188562,25681.87668312782
188563,91284.42141096348
188564,63026.35984587926
188565,67796.71066535868
188566,31485.00462677121
188567,14636.002917736225
188568,52805.639532557165
188569,23763.235943188076
188570,18230.97667357831
188571,39475.36251979497
188572,100256.29941593429
188573,30679.403270507104
188574,32106.13200790108
188575,41783.71086140557
188576,33487.79436900983
188577,12881.541388420223
188578,32746.692040814753
188579,41522.561324353395
188580,43816.310605646315
188581,91788.88881899
188582,25272.493457169978
188583,97277.38964144773
188584,31588.61747680625
188585,37867.263290906754
188586,29962.076657973776
188587,61589.20876654574
188588,27172.172492023095
188589,20549.96003369583
188590,22781.371169269238
188591,28029.061181499328
188592,39585.389514655675
188593,35475.438772189475
188594,65838.08620215855
188595,32097.917688452802
188596,57437.42058457596
188597,28518.765342844403
188598,28595.399602604346
188599,16094.788132748461
188600,56703.744328583765
188601,54928.66873948721
188602,37759.35894989096
188603,133088.04606290985
188604,13850.33985944998
188605,52226.94094026806
188606,35633.35804691172
188607,65842.38118188288
188608,17329.653479099827
188609,52531.913811439954
188610,40493.282342399885
188611,20232.816679358337
188612,78229.15782672033
188613,23875.649766116912
188614,21230.62923450573
188615,38124.8219580619
188616,65204.423978133564
188617,47854.37965012627
188618,22914.194149966
188619,81815.10561977202
188620,26938.92722760613
188621,23311.277352281944
188622,108960.08228922158
188623,56944.66636433664
188624,43758.16847135269
188625,28243.052037810514
188626,18032.687761448888
188627,95626.8893275739
188628,80477.28476471089
188629,25357.5820984678
188630,27059.03128885691
188631,76190.5261081587
188632,52820.99456176647
188633,62853.11098108352
188634,11981.115193330552
188635,31481.86068973239
188636,51619.42034316048
188637,12307.504503321023
188638,35128.82081146289
188639,25893.059328390176
188640,12652.604468301233
188641,25958.751558694785
188642,16502.687306932705
188643,96192.51080034518
188644,98923.62479508237
188645,57337.25306694998
188646,10622.801273188947
188647,32956.694642097296
188648,28235.612385962788
188649,40363.867129642545
188650,96089.44611834003
188651,52796.83694997086
188652,69758.07571889971
188653,79789.53624261831
188654,14059.611939616057
188655,18680.039685550488
188656,30462.531901130315
188657,35942.22355288542
188658,11622.572265304814
188659,60005.814878318335
188660,15429.433498402035
188661,86062.62565808369
188662,17013.23372240729
188663,18873.035756359677
188664,83672.25026249315
188665,137495.8397526513
188666,28692.40429077306
188667,12600.000006608001
188668,16785.589454253295
188669,28205.45541644394
188670,62742.933350103405
188671,23528.318767896617
188672,22114.003772337554
188673,67638.00090746193
188674,17260.968245909666
188675,33821.421356679355
188676,53040.624996985265
188677,11361.611503569118
188678,34885.790167203406
188679,47819.85955303006
188680,59139.52699423336
188681,14914.740717241624
188682,16152.06828477365
188683,15266.394371877195
188684,70590.12082444888
188685,45903.43567533148
188686,110072.5211810668
188687,21609.687536899495
188688,37416.73101049861
188689,12687.104369289884
188690,32921.72163047897
188691,43578.77587471687
188692,29978.696420570006
188693,15891.405682357956
188694,16356.319669865552
188695,21812.496774915242
188696,71860.3239888472
188697,30120.428900923816
188698,17294.44500477836
188699,60000.50922876107
188700,125126.83120326747
188701,33072.43263506249
188702,20477.766453957054
188703,80577.70439079928
188704,50843.753573703696
188705,27376.42777531901
188706,106218.68278126064
188707,13932.025673136199
188708,19100.961821975277
188709,14496.349717099038
188710,21523.29277360759
188711,29899.88901102485
188712,52129.155294052776
188713,38949.90968158275
188714,23919.11976717551
188715,39251.51079145272
188716,61582.939363990336
188717,12503.957361769644
188718,16940.62821900788
188719,37620.306411859594
188720,17803.359853025555
188721,70825.3022910487
188722,73687.36925958254
188723,22749.863995706168
188724,29951.21486852375
188725,13666.555628084658
188726,42389.13595309954
188727,13494.860970379257
188728,50831.75258671865
188729,23620.290086661946
188730,67560.70871932023
188731,67685.86005468544
188732,37037.91273928492
188733,19917.51684286668
188734,15621.781066414494
188735,11284.460020263647
188736,10949.365928596608
188737,88026.21809589192
188738,68973.01492420615
188739,66380.77633683219
188740,74658.14027471792
188741,40149.290808519705
188742,26216.73358212181
188743,27167.062567964218
188744,75985.06253940545
188745,63338.26210343154
188746,36512.87707749271
188747,35572.22163437105
188748,17918.12132201583
188749,62063.78612669527
188750,10878.4727741407
188751,49946.189337959935
188752,100229.16249258045
188753,16358.870281919755
188754,39525.389307991914
188755,63738.59148038225
188756,34328.02316403003
188757,23131.05150484235
188758,12771.363302692558
188759,17164.083315204385
188760,13882.178586617425
188761,39914.95024238893
188762,48661.86074149452
188763,32845.11245517334
188764,15253.096627268242
188765,61173.601321104295
188766,37020.579631639885
188767,12114.175916210563
188768,32366.25571038582
188769,79066.4291323818
188770,44612.256404159234
188771,14257.630190863036
188772,10541.01959554207
188773,39800.468101884464
188774,49593.27193034922
188775,47341.52854809209
188776,17105.59198241287
188777,22042.41854982568
